timestamp,event_type,application,cpu_pct,ram_pct,hour_slot,extra
2026-03-14 01:39:32.083,window_switch,● dashboard.py - attention_pro - Visual Studio Code,16.1,82.8,01:00,→ dashboard.py - attention_pro - Visual Studio Code
2026-03-14 01:39:32.083,mouse_click,dashboard.py - attention_pro - Visual Studio Code,16.1,82.8,01:00,btn:left
2026-03-14 01:39:34.406,window_switch,dashboard.py - attention_pro - Visual Studio Code,12.5,82.7,01:00,→ NeuroFocus · Attention Intelligence - Personal - Microsoft​ Edge
2026-03-14 01:39:34.406,mouse_click,NeuroFocus · Attention Intelligence - Personal - Microsoft​ Edge,12.5,82.7,01:00,btn:left
2026-03-14 01:39:39.395,mouse_click,NeuroFocus · Attention Intelligence - Personal - Microsoft​ Edge,13.7,82.4,01:00,btn:left
2026-03-14 01:39:40.278,mouse_click,NeuroFocus · Attention Intelligence - Personal - Microsoft​ Edge,17.5,82.5,01:00,btn:left
2026-03-14 01:39:41.084,mouse_click,NeuroFocus · Attention Intelligence - Personal - Microsoft​ Edge,17.2,82.5,01:00,btn:left
2026-03-14 01:39:43.250,mouse_click,NeuroFocus · Attention Intelligence - Personal - Microsoft​ Edge,11.2,82.5,01:00,btn:left
2026-03-14 01:39:45.489,window_switch,NeuroFocus · Attention Intelligence - Personal - Microsoft​ Edge,9.1,82.1,01:00,→ dashboard.py - attention_pro - Visual Studio Code
2026-03-14 01:39:45.489,mouse_click,dashboard.py - attention_pro - Visual Studio Code,9.1,82.1,01:00,btn:left
2026-03-14 01:39:50.092,mouse_click,dashboard.py - attention_pro - Visual Studio Code,9.6,82.2,01:00,btn:left
2026-03-14 01:39:54.574,window_switch,dashboard.py - attention_pro - Visual Studio Code,10.9,82.3,01:00,→ Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome
2026-03-14 01:39:54.574,mouse_click,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,10.9,82.3,01:00,btn:left
2026-03-14 01:39:56.612,mouse_click,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,10.4,82.7,01:00,btn:left
2026-03-14 01:39:59.431,keyboard,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,11.7,82.0,01:00,burst:10
2026-03-14 01:40:03.042,mouse_click,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,9.6,82.3,01:00,btn:left
2026-03-14 01:40:04.887,mouse_click,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,11.0,82.3,01:00,btn:left
2026-03-14 01:40:08.116,mouse_click,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,12.1,82.2,01:00,btn:left
2026-03-14 01:40:14.281,mouse_click,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,12.6,82.1,01:00,btn:left
2026-03-14 01:40:19.513,idle,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,11.4,82.1,01:00,gap:5s
2026-03-14 01:40:32.073,mouse_click,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,7.9,81.7,01:00,btn:left
